Struct	d.	Sect.	Sub-Sect.	Latin	English (Lodge)
xx		1	22	morbus, -ī, m.	sickness, disease
x		1	22	lētum, -ī, n.	(poetry) death; ruin (often personified)
xx		1	22	nex, necis, f.	violent death, slaughter, murder
x		1	22	fūnus, -eris, n.	funeral; death, dead body, pyre, etc.
xx		1	22	rogus, -ī, m.	funeral pyre
xx		1	22	sepulcrum, -ī, n.	place of burial, tomb, grave
xx		1	22	sepeliō, -īre, -pelīvī, -pultum	to perform rites of sepulture (either by interring or cremation); bury
xx		1	22	tumulus, -ī, m.	(esp. of land) hillock, mound; (lit.) little swelling
xx	d.	1	22	tumultus, -ūs, m.	commotion, uprising
xx		1	22	monumentum, -ī, n.	reminder; memorial, monument
x		1	22	mānēs, -ium, m. (pl.)	souls of the dead, spirits, shades; (used also of a single person); the underworld
x		1	23	nātūra, -ae, f.	nature (in various senses, lit. and fig.)
x		1	23	causa, -ae, f.	cause, reason; occasion; case, lawsuit; party, faction; etc.
x		1	23	māteria, -ae, f.	timber, lumber
x		1	23	rēs, reī, f.	thing (used in innumerable senses and in very many phrases)
x		1	23	pondus, -eris, n.	weight (both lit. and fig.)
xx		1	23	mōlēs, -is, f.	shapeless mass; massive structure, pile (of any kind); (esp.) dam, mole, dyke; (fig.) burden, etc.
x		1	23	onus, -eris, n.	load, burden (lit. and fig.)
xx		1	23	onerō, -āre, -āvī, -ātum	to load, burden
x		1	23	cōpia, -ae, f.	supply, abundance; opportunity; (pl.) forces, esp. troops; supplies
// DN
x		1	23	locus, -ī, m. (pl. -a, -ōrum, n.)	place (in many lit. and fig. senses)
xx		1	23	locō, -āre, -āvī, -ātum	to place, locate; let a contract
xx		1	23	situs, -ūs, m.	situation, site; neglect, rust
x		1	23	spatium, -ī, n.	space (both of place and, more commonly, of time)
x		1	23	vīta, -ae, f.	life
// DN
x		1	23	vīs (sg. only acc. vim, abl. vī; pl. vīrēs, -ium), f.	force, strength, energy
xx	d.	1	23	vir, virī, m.	man (opp. to woman); husband; hero
// DN
x		1	23	vicis (gen. sg.), vicem (acc. sg.), vice (abl. sg.), f.	change, turn (in affairs); (in vicem) in exchange, in turn
x		1	23	fīnis, -is, m.	end, termination; boundary; (pl.) boundaries (usual sense in Caesar)
xx		1	23	fīniō, -īre, -īvī, -ītum	to limit, bound
xx		1	23	initium, -ī, n.	beginning; (lit.) an entering
x		1	23	modus, -ī, m.	measure, manner, kind
x		1	23	quōmodo	(adv.) in what manner, in what way, how
x		1	23	exemplum, -ī, n.	sample, copy, example, etc.; (lit.) something taken out
x		1	23	ōrdō, -inis, m.	succession, order, class, rank, row, etc.
x		1	23	condiciō, -ōnis, f.	agreement, terms; condition, station
x		1	23	discrīmen, -inis, n.	(lit.) interval, distance apart, division, separation; decisive moment, crisis, risk
x		1	23	pars, partis, f.	part
// DN
x		1	23	nēmō (nūllīus, nēminī, nēminem, nūllō)	no one
x		1	23	nihil[nīl] (indecl.)	nothing
x		1	23	numerus, -ī, m.	number, amount; musical order, rhythm, strain
xx		1	23	numerō, -āre, -āvī, -ātum	(lit.) to count, reckon, number; (of money) count out, pay out, pay; (lit.) reckon, number as one's own (i.e. to have, possess); account, reckon, esteem, consider as any thing
x		1	23	nōmen, -inis, n.	name; (lit.) means of knowing
xx		1	23	nōminō, -āre, -āvī, -ātum	to call by name, call, name
x		1	23	color, -ōris, m.	color (in var. senses)
x		1	23	odor, -ōris, m.	smell, odor, fragrance
x		1	23	rota, -ae, f.	wheel
x		2	1	egō[ego]	I
xx		2	1	mē	(acc.) me; (abl.) by/with/from me
xx		2	1	mēcum	with me
xx		2	1	meus, -a, -um	(poss. adj.) my
xx		2	1	mihi	to/for me
x		2	1	nōs	we
xx		2	1	nōbīs	(dat.) to/for us; (abl.) by/with/from us
xx		2	1	noster, -tra, -trum	(poss. adj. pron.) our
x		2	1	tū	you (sg.)
xx		2	1	tē	(acc.) you (sg.); (abl.) by/with/from you (sg.)
xx		2	1	tēcum	with you (sg.)
xx		2	1	tuus, -a, -um	your (sg.)
xx		2	1	tibi	for you (sg.)
x		2	1	vōs	you (pl.)
xx		2	1	vōbīs	(dat). for you (pl.); (abl.) by/with/from you (pl.)
xx		2	1	vester, -tra, -trum	your (pl.)
x		2	1	sē[sēsē]	oneself
xx		2	1	sēcum	with oneself
xx		2	1	sibi	for oneself
xx		2	1	suus, -a, -um	(reflex. poss. adj.) his, his own, their, their own
// DN
x		2	1	alius, -a, -ud (gen. alterīus, dat. aliī/alterī)	other, another
xx		2	1	aliēnus, -a, -um	belonging to another, strange, foreign; (fig.) unfavorable; used as gen. of alius
xx		2	1	aliter	otherwise
// DN
xx		2	1	alter, -era, -erum (gen. alterīus, dat. alterī)	other of two, one of two, second
xx		2	1	alternus, -a, -um	alternating, by turns
xx		2	1	cēterus, -a, -um	the others, the rest
x		2	1	hic, haec, hoc	this; the latter
x		2	1	ille, illa, illud	that one (opp. to hic); the former
x		2	1	is, ea, id	(determ. pron.) that one; he, she, it; (as antec. to rel.) such
x		2	1	īdem, eadem, idem	the same; (followed by atque or the rel. pron.) as
x		2	1	iste, ista, istud	(demonst. pron. of second person, often with a tone of contempt) that (of thine)
x		2	1	ipse, ipsa, ipsum	self, selves; himself, herself, etc.
x		2	1	uter, utra, utrum	(interr. rel.) which of two; either of two
xx		2	1	uterque, utraque, utrumque	each of two
x		2	1	quī, quae, quod	who, which
x		2	1	quis, quid	who, which
xx		2	1	cui	to whom, to which
x		2	1	aliquis, aliquid	some, any
x		2	1	quīcumque, quaecumque, quodcumque	(indef. rel. pron.) whoever, whichever, whatever
// QUOD
x		2	1	quīdam, quaedam, quiddam (subst., quoddam, adj.)	(indef. pron.) a certain one, some one
// QUOD
x		2	1	quīlibet, quaelibet, quidlibet (subst., quodlibet, adj.)	anyone, without distinction, whom you will; no matter who
x		2	1	quisnam, quidnam	who, which, what pray/then
x		2	1	quisquam, quidquam/quicquam	(indef. subst. pron.) any one
// QUOD
x		2	1	quisque, quaeque, quidque (subst., quodque, adj.)	(indef. pron.) each one, every one
// QUOD
x		2	1	quisquis, quidquid/quicquid (subst., quodquod, adj.)	(indef. pron.) whoever, whichever
x		3	1	eō, īre, iī (īvī), itum	to go
xx		3	1	abeō, -īre, -iī, -itum	to go away, depart
xx		3	1	adeō, -īre, -iī, -itum	to go to, visit; (fig.) consult; enter upon (e.g. hereditates), undergo
xx		3	1	circumeō, -īre, -iī, -itum	to go around, go around among, inspect
xx		3	1	exeō, -īre, -iī, -itum	to go forth
xx		3	1	ineō, -īre, -iī, -itum	to go in, enter, enter upon, undertake; (of time, esp. in partic.) begin
xx		3	1	obeō, -īre, -iī (-īvī), -itum	to go toward, go to meet, traverse; (fig.) enter upon, undergo (in any sense); (with mortem) die
xx		3	1	pereō, -īre, -iī, -itum	(lit.) to go through; perish, be lost; also used as pass. of perdo
xx		3	1	praetereō, -īre, -iī, -itum	to go by, pass, pass over
xx		3	1	redeō, -īre, -iī, -itum	to go back, return
xx		3	1	subeō, -īre, -iī, -itum	to go under, go up to; (of the mind) occur to; (fig.) undergo, endure; (poetry) approach
xx		3	1	trānseō, -īre, -iī, -itum	to go across, cross
x		3	1	petō, -ere, -īvī (-iī), -ītum	(lit.) to fall upon, attack, assail, aim at; (fig.) seek, demand, ask for
xx		3	1	repetō, -ere, -īvī (-iī), -ītum	to seek back, demand, exact; revisit; (fig.) call to mind, recollect; repeat
x		3	1	pergō, -ere, perrēxī, perrēctum	to proceed; (lit.) to keep straight
x		3	1	properō, -āre, -āvī, -ātum	to hasten, speed
x		3	1	currō, -ere, cucurrī, cursum	to run
xx		3	1	concurrō, -ere, -(cu)currī, -cursum	to run together (in var. senses)
xx		3	1	occurrō, -ere, -(cu)currī, -cursum	to run to meet; (fig.) come into one's mind
xx		3	1	cursus, -ūs, m.	course, advance; (lit.) a running
xx		3	1	currus, -ūs, m.	chariot
x		3	1	fluō, -ere, flūxī, flūxum	to flow
xx		3	1	flūmen, -inis, n.	stream, river
xx		3	1	fluvius, -ī, m.	stream, river; (lit.) flowing
xx		3	1	flūctus, -ūs, m.	flood, billow, surf
x		3	1	veniō, -īre, vēnī, ventum	to come
xx		3	1	adveniō, -īre, -vēnī, -ventum	to come to, arrive at
xx		3	1	adventus, -ūs, m.	approach, arrival; (lit.) a coming to
xx		3	1	conveniō, -īre, -vēnī, -ventum	to come together, assemble; meet
xx		3	1	ēveniō, -īre, -vēnī, -ventum	to come forth; happen (of things both good and bad)
xx		3	1	inveniō, -īre, -vēnī, -ventum	to come upon, find; (rarely) find out
xx		3	1	perveniō, -īre, -vēnī, -ventum	to get through, arrive, reach
x		3	1	cēdō, -ere, cessī, cessum	to move, step; go away; yield, retreat (so reg. in Caesar)
xx		3	1	accēdō, -ere, -cessī, -cessum	to go to, move to, approach; (fig.) be added (as pass. of addo); (fig.) wax (opp. to wane)
xx		3	1	concēdō, -ere, -cessī, -cessum	(lit.) to go with; retire, withdraw; (fig.) yield, submit; (occasionally) forgive
xx		3	1	dēcēdō, -ere, -cessī, -cessum	to go away from
xx		3	1	discēdō, -ere, -cessī, -cessum	to go away, depart
xx		3	1	excēdō, -ere, -cessī, -cessum	to go forth, withdraw
xx		3	1	incēdō, -ere, -cessī, -cessum	to move in, move on (of dignified movement)
xx		3	1	prōcēdō, -ere, -cessī, -cessum	to go forth, advance
xx		3	1	recēdō, -ere, -cessī, -cessum	to step back, recede, recoil, withdraw, etc.
x		3	1	vādō, -ere, --, --	to go, walk, advance, etc.
x		3	1	ēvādō, -ere, -vāsī, -vāsum	to go forth, escape
x		3	1	vadum, -ī, n.	ford; shallow, shoal
x		3	1	vagus, -a, -um	(lit.) strolling about, roaming, wandering, unfixed, unsettled, vagrant; (fig.) wandering, wavering, unsteady, inconstant, uncertain, vague
x		3	1	fugiō, -ere, fūgī, fugitūrus	to flee, escape
xx		3	1	fuga, -ae, f.	flight, rout
x		3	1	vītō, -āre, -āvī, -ātum	to avoid, shun
xx		3	1	vitium, -ī, n.	flaw, defect, fault, crime
// VN
x		3	1	appāreō, -ēre, -uī, (-itūrus)	to appear, become visible
x		3	1	lateō, -ēre, -uī, --	to lie hid, be hidden (in lit. and fig. senses); (with acc. of person in poetry) be hid from, unknown to
x		3	1	iaceō, -ēre, -uī, --	to lie (e.g. on the ground)
xx	d.	3	1	iaciō, -ere, iēcī, iactum	to throw
x		3	1	incumbō, -ere, -cubuī, -cubitum	to lie upon, lean upon; apply one's self to, bend one's energies to
xx		3	1	cubīle, -is, n.	bed, couch
x		3	1	cadō, -ere, cecidī, cāsūrus	to fall; (fig.) be slain (in Caesar only in fig. sense)
xx		3	1	accidō, -ere, -cidī, --	to fall to; happen (usually in a bad sense)
xx		3	1	incidō, -ere, -cidī, --	to fall upon, fall into; happen
xx		3	1	cāsus, -ūs, m.	(lit.) a falling, fall; chance, accident
x		3	1	lābor, lābī, lāpsus sum	to glide, slip, slide
x	d.	3	1	labor, -ōris, m.	toil, exertion (in both lit. and fig. senses)
// VN
x		3	1	ruō, -ere, ruī, rutum (ruitūrus)	(trans.) to throw down, overthrow; (intrans.) rush down, tumble down, rush (in almost any sense)
xx		3	1	ruīna, -ae, f.	downfall, collapse (both lit. and fig.)
x		3	1	surgō, -ere, surrēxī, surrēctum	(trans.) to raise; (intrans.) rise
x		3	1	orior, orīrī, ortus sum	to arise; spring from, begin, etc.
xx		3	1	exorior, -orīrī, -ortus sum	to rise up, appear, arise
x		3	1	ascendō, -ere, -endī, -ēnsum	to climb up, ascend
x		3	1	dēscendō, -ere, -scendī, -scēnsum	to climb down, descend
// VN
x		3	1	stō, stāre, stetī, statum (statūrus)	to stand
xx		3	1	astō, astāre, astitī, --	to stand by, stand near, stand
xx		3	1	cōnstō, -stāre, -stitī, -stātūrus	(lit.) stand with (i.e. be consistent, agree); be complete, regular; (impers.) cost; it is established, certain
xx		3	1	īnstō, -stāre, -stitī, -stātūrus	to stand to/on; persist, press on/upon; impend, be at hand, etc.
xx		3	1	obstō, -stāre, -stitī, -stātūrus	to stand in the way of
// VN
xx		3	1	praestō, -stāre, -stitī, -stitum (-stātūrus)	to stand in front, excel; exhibit, furnish
x		3	1	sedeō, -ēre, sēdī, sessum	to sit; (fig.) be fixed, settled; (sometimes) suit
xx		3	1	resīdō, -ere, -sēdī, -sessum	to sit back, sit down; (fig.) settle down, sink; (also) cease
// DN
xx		3	1	sēdēs, -is, f. (gen. pl. -um)	seat, abode, habitation (both lit. and fig.)
x		3	1	maneō, -ēre, mānsī, mānsum	to remain, abide
x		3	1	habitō, -āre, -āvī, -ātum	to occupy, inhabit, dwell in; (lit.) hold continually
x		3	1	occupō, -āre, -āvī, -ātum	to take possession of, seize; (with inf.) get the start in, hurry to
x		3	1	intrō, -āre, -āvī, -ātum	to go within, enter
xx		3	1	intrā	(prep. with acc.) within (of space and time)
x		3	1	ēgredior, -ī, ēgressus sum	to stride out, depart, disembark
xx		3	1	ingredior, -ī, ingressus sum	to step in, enter
x		3	1	penetrō, -āre, -āvī, -ātum	to penetrate, react
x		3	1	tangō, -ere, tetigī, tāctum	to touch (in var. senses)
xx		3	1	contingō, -ere, -tigī, -tāctum	to touch, be contiguous to; happen to
x		3	1	haereō, -ēre, haesī, haesum	to stick
x		3	1	sequor, -ī, secūtus sum	to follow (in var. senses)
xx		3	1	cōnsequor, -ī, -secūtus sum	to follow up, overtake, attain
xx		3	1	persequor, -ī, -secūtus sum	to follow through, pursue, press hard
xx		3	1	secundus, -a, -um	next, second; (fig.) favorable, successful; (lit.) following
x		3	1	comitor, -ārī, -ātus sum	to attend, accompany
x		3	2	moveō, -ēre, mōvī, mōtum	to move (in many senses lit. and fig.)
xx		3	2	removeō, -ēre, -mōvī, -mōtum	to move back, withdraw, remove
x		3	2	ferō, ferre, tulī, lātum	to bear (in many senses), carry, endure; declare
xx		3	2	afferō, afferre, attulī, allātum	to bring to, carry to (rare in lit. sense, usually fig. of reports, news, etc.); excite (of emotions)
xx		3	2	auferō, auferre, abstulī, ablātum	to bear away, bear off, take away, remove, etc.
xx		3	2	cōnferō, cōnferre, contulī, collātum	to bring together, collect; bring to, transport; shift, transfer, compare; (se ~) betake one's self
xx		3	2	dēferō, dēferre, dētulī, dēlātum	to bear away, carry away; report
xx		3	2	differō, differre, distulī, dīlātum	to bear apart, differ; postpone; spread apart
xx		3	2	efferō, efferre, extulī, ēlātum	to bear out, take out, put out; (fig.) extol; (pass.) be elated
xx		3	2	īnferō, īnferre, intulī, illātum	to bear in/upon/against (also in many fig. meanings); (bellum ~) attack in war
xx		3	2	offerō, offerre, obtulī, oblātum	to present, offer, expose, etc.
xx		3	2	perferō, -ferre, -tulī, -lātum	to bear through, carry through; (fig.) endure to the end; carry news, announce
xx		3	2	praeferō, -ferre, -tulī, -lātum	to bear before; place before, prefer; hand to; (fig.) show, reveal
xx		3	2	prōferō, -ferre, -tulī, -lātum	to bring forward/forth, extend
xx		3	2	referō, referre, rettulī, relātum	to bear back, bring back (in var. senses); (fig.) report, refer, announce, etc.
x		3	2	trānsferō, -ferre, -tulī, -lātum	to carry over, transfer; put off
x		3	2	portō, -āre, -āvī, -ātum	to carry (a load)
xx		3	2	portus, -ūs, m.	harbor, port
xx		3	2	porta, -ae, f.	gate
x		3	2	vehō, -ere, vēxī, vectum	to carry; (pass.) be carried, ride, go, sail, etc. (according to context)
x		3	2	gerō, gerere, gessī, gestum	to bear, carry; carry on, accomplish, manage, etc. (in a wide range of uses)
x		3	2	tollō, -ere, sustulī, sublātum	to raise, lift up; remove, destroy, etc.
x		3	2	trahō, -ere, trāxī, tractum	to drag, draw (in both lit. and fig. senses)
xx		3	2	dētrahō, -ere, -trāxī, -tractum	to draw off, pull off, rob
xx		3	2	tractō, -āre, -āvī, -ātum	to handle; (lit.) draw frequently
x		3	2	dūcō, -ere, dūxī, ductum	to lead (in var. senses); (fig.) deem, consider, hold
xx		3	2	addūcō, -ere, -dūxī, -ductum	to lead to; (fig.) induce; Vergil uses it of straining muscles or bow
xx		3	2	dēdūcō, -ere, -dūxī, -ductum	to lead away; (of ships) launch; (fig.) lead, bring into
xx		3	2	ēdūcō, -ere, -dūxī, -ductum	to lead forth (in all senses)
xx		3	2	redūcō, -ere, -dūxī, -ductum	to lead back
xx		3	2	dux, ducis, m.	leader, guide, general
x		3	2	mittō, -ere, mīsī, missum	to send, let go
xx		3	2	admittō, -ere, -mīsī, -missum	to let go, admit; (fig.) commit (with scelus)
xx		3	2	āmittō, -ere, -mīsī, -missum	to let go away, lose; send away, dismiss
xx		3	2	committō, -ere, -mīsī, -missum	to join together (esp. proelium); entrust; perform, do, allow
xx		3	2	dīmittō, -ere, -mīsī, -missum	to send apart/away, despatch, dismiss, let go
xx		3	2	permittō, -ere, -mīsī, -missum	to yield, allow, permit; (lit.) let go through
xx		3	2	prōmittō, -ere, -mīsī, -missum	to permit to grow; (fig:) proffer; promise, agree; (lit.) let go forth
xx		3	2	remittō, -ere, -mīsī, -missum	to send back, let go back; (fig.) relax, weaken, etc.
x		3	2	mandō, -āre, -āvī, -ātum	to hand over, commission, etc.; (lit.) give into the hands of
xx		3	2	commendō, -āre, -āvī, -ātum	to commit, entrust; commend, recommend
x		3	2	pellō, -ere, pepulī, pulsum	to strike, beat, push, drive (in var. lit. and fig. senses)
xx		3	2	expellō, -ere, -pulī, -pulsum	to push out, expel
xx		3	2	impellō, -ere, -pulī, -pulsum	to drive on, impel; (more often fig.) excite, urge on
xx		3	2	pulsō, -āre, -āvī, -ātum	to beat, lash, etc.; (fig.) disturb
x		3	2	agō, -ere, ēgī, āctum	to drive, carry on, do, act; (fig.) treat, discuss; (of time) spend
xx		3	2	agitō, -āre, -āvī, -ātum	to drive, (esp. of hunters) pursue, hound (lit. and fig.)
xx		3	2	agmen, -inis, n.	line of march; army on the march; (fig.) movement, course
x		3	2	cōgō, -ere, coēgī, coāctum	(lit.) to drive together, gather together; force, compel
xx		3	2	exigō, -ere, -ēgī, -āctum	to drive out; exact, collect; (of time) spend, finish up
xx		3	2	peragō, -ere, -ēgī, -āctum	(lit.) to drive through; finish; accomplish
xx		3	2	urgeō, -ēre, ursī, --	to drive, impel, press hard, urge
x		3	2	iaciō, -ere, iēcī, iactum	to throw
xx		3	2	adiciō, -ere, -iēcī, -iectum	to add to, construct near to, be near to
xx		3	2	dēiciō, -ere, -iēcī, -iectum	to throw or cast down (both lit. and fig.)
xx		3	2	iniciō, -ere, -iēcī, -iectum	to throw in/on; inspire, infuse
xx		3	2	obiciō, -ere, -iēcī, -iectum	to throw in one's way (in var. lit. and fig. senses)
xx		3	2	prōiciō, -ere, -iēcī, -iectum	to throw forward/forth, hurl; (fig.) renounce
xx		3	2	subiciō, -ere, -iēcī, -iectum	(lit.) to throw under; drive in, thrust up, etc.; (fig.) expose, subject; subjoin, reply
xx		3	2	trāiciō, -ere, -iēcī, -iectum	to throw across; pass over; pierce
xx		3	2	iactō, -āre, -āvī, -ātum	to throw often, fling, toss; (of words) bandy, vaunt
xx		3	2	ictus, -ūs, m.	blow, stroke; (lit.) a striking
xx	d.	3	2	iaceō, -ēre, -uī, --	to lie (e.g. on the ground)
x		3	2	dō, dare, dedī, datum	to give, put (latter meaning rare except in compounds)
xx		3	2	addō, -ere, -didī, -ditum	to give to, add; (fig.) add (the remark)
xx		3	2	circumdō, -dare, -dedī, -datum	to put around
xx		3	2	prōdō, -ere, -didī, -ditum	to give forth, publish, hand down; give over, betray
xx		3	2	reddō, -ere, -didī, -ditum	to give back, return; render
xx		3	2	subdō, -ere, -didī, -ditum	to put, place, set, lay under; subject, subdue; substitute
xx		3	2	trādō, -ere, -didī, -ditum	to give over, hand over; entrust, yield
xx		3	2	dōnō, -āre, -āvī, -ātum	to present (as a gift)
xx		3	2	dōnum, -ī, n.	gift, present
x		3	2	praebeō, -ēre, -buī, -bitum	to afford, furnish; (lit.) hold in front
x		3	2	tribuō, -ere, -uī, -ūtum	to assign, bestow, grant, etc.
x		3	2	pōnō, -ere, posuī, positum	to put down, put, place, establish, etc. (in var. senses)
xx		3	2	appōnō, -ere, -posuī, -positum	to put, place, etc., at/by/beside/near a person or thing; (of food) serve up, set before one
xx		3	2	compōnō, -ere, -posuī, -positum	to put together; build, construct, arrange; (fig.) adjust, quiet, appease; (of burial) lay away
xx		3	2	dēpōnō, -ere, -posuī, -positum	to put down, put aside, put away (both lit. and fig.)
xx		3	2	impōnō, -ere, -posuī, -positum	to put in/on/upon; impose, levy upon, etc.
xx		3	2	prōpōnō, -ere, -posuī, -positum	to put forward, set forth, propose, present, etc.
x		3	2	iungō, -ere, iūnxī, iūnctum	to join (in many lit. and fig. senses)
xx		3	2	iugum, -ī, n.	yoke; ridge, chain of hills; summit
xx		3	2	coniungō, -ere, -iūnxī, -iūnctum	to join together, unite
xx		3	2	coniūnx[coniux], -iugis, mf.	consort, spouse, husband or wife
xx		3	2	marītus, -ī, m.	married man, husband; (freely) lover, suitor
xx		3	2	uxor, -ōris, f.	wife (Vergil uses coniunx)
x		3	2	nectō, -ere, nex(u)ī, nexum	to bind, unite
x		3	2	fīgō, -ere, fīxī, fīxum	to fix, fasten; set up, establish; transfix, shoot
x		3	2	misceō, -ēre, miscuī, mixtum	to mix, mingle
x		3	2	mergō, -ere, mersī, mersum	to dip, immerse; (fig.) hide, sink, overwhelm
x		3	2	pendō, -ere, pependī, pēnsum	to weigh, hang, suspend; pay
xx		3	2	suspendō, -ere, -pendī, -pēnsum	to hang up
xx		3	2	pendeō, -ēre, pependī, --	to hang, be suspended (lit. and fig.)
xx		3	2	impendeō, -ēre, --, --	to overhang, impend, threaten
x		3	2	induō, -ere, -uī, -ūtum	to put on (of clothing); (with se and dat.) impale one's self on
x		3	2	edō, -ere (or ēsse), ēdī, ēsum	to eat
xx	d.	3	2	ēdō, -ere, -didī, -ditum	to put/set forth, state, explain
x		3	2	bibō, -ere, bibī, --	to drink
x		3	2	hauriō, -īre, hausī, haustum	to draw (any fluid); hence in var. fig. senses
x		3	2	fundō, -ere, fūdī, fūsum	to pour (in var. senses); scatter, disperse, rout
xx		3	2	effundō, -ere, -fūdī, -fūsum	to pour out/forth (in var. senses lit. and fig.)
x		3	2	lībō, -āre, -āvī, -ātum	to take a little; taste, sip, touch; (of wine) pour a libation; (fig.) present, offer
x		3	2	capiō, -ere, cēpī, captum	to take, seize (in many lit. and fig. senses)
xx		3	2	accipiō, -ere, -cēpī, -ceptum	to take to, i.e. receive, accept (common in lit. and fig. senses); (fig.) suffer (as calamitatem); learn
xx		3	2	concipiō, -ere, -cēpī, -ceptum	to take up, receive, incur; conceive, give birth to; imagine, understand, plan
xx		3	2	dēcipiō, -ere, -cēpī, -ceptum	to catch, ensnare; (fig.) deceive
xx		3	2	excipiō, -ere, -cēpī, -ceptum	to take out/up; except, relieve
xx		3	2	incipiō, -ere, -cēpī, -ceptum	to take on, begin
xx		3	2	percipiō, -ere, -cēpī, -ceptum	to gain, acquire; (fig.) hear, learn
xx		3	2	recipiō, -ere, -cēpī, -ceptum	to take back, receive (esp. what belongs to one or is due one); (loosely) receive
xx		3	2	suscipiō, -ere, -cēpī, -ceptum	to take up, undertake (in var. senses)
xx		3	2	captīvus, -a, -um	captive, prisoner
x		3	2	rapiō, -ere, rapuī, raptum	to tear, seize, snatch (in var. lit. and fig. senses)
xx		3	2	corripiō, -ere, -ripuī, -reptum	to snatch up, seize, press on, etc. (of any hurried attack)
xx		3	2	ēripiō, -ere, -ripuī, -reptum	to snatch away; save, rescue
x		3	2	carpō, -ere, carpsī, carptum	to pluck (in lit. and fig. senses)
x		3	2	dēprehendō, -ere, -endī, -ēnsum	to catch suddenly or in the act; surprise, descend upon
x		3	2	sūmō, -ere, sūmpsī, sūmptum	to take up, take (in many senses)
xx		3	2	cōnsūmō, -ere, -sūmpsī, -sūmptum	use up, consume; (lit.) take together
x		3	2	emō, emere, ēmī, ēmptum	(fig.) buy; (lit.) to take (but only in compounds)
x		3	2	habeō, -ēre, -uī, -itum	to have (in the most general sense); hold, maintain; (fig.) deem; designate
xx		3	2	adhibeō, -ēre, -uī, -itum	to have at hand; apply
xx		3	2	prohibeō, -ēre, -uī, -itum	to hold forward; keep away, restrain
x		3	2	possideō, -ēre, -sēdī, -sessum	to be in possession of, get possession of
x		3	2	teneō, -ēre, tenuī, tentum	to hold (in every sense, lit. and fig.)
xx		3	2	contineō, -ēre, -tinuī, -tentum	(lit.) hold together; contain; bound, limit, restrain, etc. in many senses
xx		3	2	obtineō, -ēre, -tinuī, -tentum	to hold fast, hold; get a hold on, obtain
xx		3	2	pertineō, -ēre, -tinuī, --	to extend through; (fig.) lead to, pertain to, bear upon, etc.
xx		3	2	retineō, -ēre, -tinuī, -tentum	to hold back, detain; maintain, keep
xx		3	2	sustineō, -ēre, -tinuī, -tentum	to hold under, i.e. hold up, sustain (in many senses)
x		3	2	relinquō, -ere, -līquī, -lictum	to leave behind, abandon
xx		3	2	reliquus, -a, -um	remaining, rest
xx		3	2	linquō, -ere, līquī, --	(poetry) to leave (both lit. and fig.; the prose word is relinquo)
x		3	2	dēserō, -ere, -seruī, -sertum	to disjoin, leave off, give up, abandon
x		3	2	vendō, -ere, -didī, -ditum	to put up for sale; sell (pass. is veneo)
// VN
x		3	2	pandō, -ere, pandī, passum (pānsum)	to spread, spread out; (fig.) expand, etc.
x		3	2	īnstruō, -ere, -strūxī, -strūctum	(lit.) heap up; arrange, marshall; load; (fig.) set in order, plan, contrive
x		3	2	sternō, -ere, strāvī, strātum	to strew, spread out, stretch out; (fig.) overthrow; devastate
x		3	2	spargō, -ere, -rsī, -rsum	to scatter (in many senses)
// VN
x		3	2	quatiō, -ere, --, quassum (perf. -cussī only in composita)	to shake (both lit. and fig.)
x		3	2	vertō, -ere, -rtī, -rsum	to turn (in all senses); (pass.) revolve
xx		3	2	āvertō, -ere, -vertī, -versum	to turn from, turn away; (fig.) estrange
xx		3	2	adversus, -a, -um	(lit.) turned towards; facing, opposed; unfavorable
xx		3	2	convertō, -ere, vertī, -versum	to turn about, turn, change
xx		3	2	dīversus, -a, -um	turned apart/away; different, diverse
// VN
xx		3	2	revertor, -ī, reversus sum (or revertō, -ere, -vertī)	to turn back, return (usually deponent except in perf.)
xx		3	2	vertex[vortex], -icis, m.	whirl; point/top of a whirl; summit, head, height (also vortex)
xx		3	2	versō, -āre, -āvī, -ātum	to turn often, keep turning; (pass.) move, be busy; dwell; conduct one's self
x		3	2	volvō, -ere, volvī, volūtum	to roll, twist (in every way); (fig.) turn over, revolve (e.g. animo)
x		3	2	aperiō, -īre, -ruī, -rtum	uncover, open (both fig. and lit.; opp. operio)
xx		3	2	comperiō, -īre, -perī, -pertum	(lit.) make out; ascertain, learn
xx		3	2	experior, -īrī, expertus sum	to try thoroughly, test, experience
xx		3	2	operiō, -īre, -eruī, -ertum	to hide, cover up
xx		3	2	reperiō, -īre, repperī, repertum	to find out (after search)
x		3	2	claudō, -ere, clausī, clausum	to close, shut
x		3	3	sum, esse, fuī, futūrum	to be, exist
x		3	3	absum, abesse, āfuī, āfutūrus	to be away, be absent
// VN
x		3	3	adsum[assum], adesse, -fuī (affuī), -futūrus (affutūrus)	to be present, be at hand, assist
x		3	3	dēsum, deesse, dēfuī	to be lacking, missing
x		3	3	prōsum, prōdesse, prōfuī	to be profitable (opp. obsum)
x		3	3	supersum, superesse, superfuī	to be over, remain, survive, etc.
x		3	3	futūrus, -a, -um	about to be, future
x		3	3	possum, posse, potuī	to be able, can
x		3	3	potēns, potentis	mighty, powerful, potent
x		3	3	potentia, -ae, f.	power, strength
x		3	3	potestās, -ātis, f.	power (just and lawful as opp. to potentia)
x		3	3	potis, -e	able, powerful (rare except in comp. and sup.)
x		3	3	potior, -ius	(adj.) to be preferred; that may/can be preferred; preferable
